level,pictureUrl,exerciseName,words,noiseLevel,noiseUrl
9,clothes,Одежда /+средний шум/,(полупальто леггинсы фартук варежки дубленка джемпер),0,20
10,clothes,Одежда /+средний шум/,(дождевик худи парео сорочка кардиган водолазка гетры фуфайка шуба),0,20
11,clothes,Одежда /+средний шум/,(шапка мундир безрукавка следки боди тенниска бриджи мантия чулки),0,20
1,clothes,Одежда /+тяжелый шум/,(майка носки кофта трусы куртка колготы),0,40
2,clothes,Одежда /+тяжелый шум/,(платье рубашка штаны свитер пуховик шарф),0,40
3,clothes,Одежда /+тяжелый шум/,(юбка футболка брюки гольфы плащ пижама),0,40
4,clothes,Одежда /+тяжелый шум/,(шуба сарафан шорты топ костюм рубашка),0,40
5,clothes,Одежда /+тяжелый шум/,(пальто толстовка халат пиджак купальник джинсы),0,40
6,clothes,Одежда /+тяжелый шум/,(ветровка капри плавки жакет халат форма),0,40
7,clothes,Одежда /+тяжелый шум/,(парка комбинезон блузка жилет бельё перчатки),0,40
8,clothes,Одежда /+тяжелый шум/,(обуться померить одеться раздеться снять постирать),0,40
9,clothes,Одежда /+тяжелый шум/,(полупальто леггинсы фартук варежки дубленка джемпер),0,40
10,clothes,Одежда /+тяжелый шум/,(дождевик худи парео сорочка кардиган водолазка гетры фуфайка шуба),0,40
11,clothes,Одежда /+тяжелый шум/,(шапка мундир безрукавка следки боди тенниска бриджи мантия чулки),0,40
1,school,В школе,(школа крыльцо двор учитель ученик директор),0,
2,school,В школе,(класс кабинет зал столовая коридор туалет),0,
3,school,В школе,(доска парта стул тумба шкаф полки),0,
4,school,В школе,(завуч воспитатель вахтер буфет дорожка правило),0,
5,school,В школе,(учебник тетрадь журнал дневник мел указка),0,
6,school,В школе,(ручка карандаш линейка бумага ножницы клей),0,
7,school,В школе,(перемена урок звонок форма каникулы четверть),0,
8,school,В школе,(мяч канат сетка кольцо скакалка мат),0,
9,school,В школе,(отвечать решать читать писать говорить думать),0,
10,school,В школе,(пандус бордюр покрытие щит кегли стадион мишень бревно стойка),0,
11,school,В школе,(секундомер соревнование эстафета снаряд трибуна свисток инструмент выпускной учительская),0,
1,school,В школе /+голоса/,(школа крыльцо двор учитель ученик директор),50,voices
2,school,В школе /+голоса/,(класс кабинет зал столовая коридор туалет),50,voices
3,school,В школе /+голоса/,(доска парта стул тумба шкаф полки),50,voices
4,school,В школе /+голоса/,(завуч воспитатель вахтер буфет дорожка правило),50,voices
5,school,В школе /+голоса/,(учебник тетрадь журнал дневник мел указка),50,voices
6,school,В школе /+голоса/,(ручка карандаш линейка бумага ножницы клей),50,voices
7,school,В школе /+голоса/,(перемена урок звонок форма каникулы четверть),50,voices
8,school,В школе /+голоса/,(мяч канат сетка кольцо скакалка мат),50,voices
9,school,В школе /+голоса/,(отвечать решать читать писать говорить думать),50,voices
10,school,В школе /+голоса/,(пандус бордюр покрытие щит кегли стадион мишень бревно стойка),50,voices
