level,code,exerciseName,words,noiseLevel,noiseUrl
12,pets,Домашние питомцы,(вычёсывать чистить подстригать купировать прививать ветеринар фильтр сетка шиншилла),0,
13,pets,Домашние питомцы,(когтеточка домик болонка боксёр бигль лабрадор колли такса бульдог),0,
14,pets,Домашние питомцы,(короткошёрстная длинношёрстная стрижка грумер питомец выставка паспорт порода родословная),0,
15,pets,Домашние питомцы /+шум толпы/,(кот собака хомяк черепаха кролик попугай),70,crowd
16,pets,Домашние питомцы /+шум толпы/,(лает мяукает чирикает прыгает бегает ползает),70,crowd
17,pets,Домашние питомцы /+шум толпы/,(клетка миска корм поилка колесо аквариум),70,crowd
18,pets,Домашние питомцы /+шум толпы/,(рыбки щенок котики лоток крысы хорёк),70,crowd
19,pets,Домашние питомцы /+шум толпы/,(поводок ошейник будка вольер хозяин команда),70,crowd
20,pets,Домашние питомцы /+шум толпы/,(переноска ветеринар игрушка террариум овчарка лабрадор),70,crowd
21,pets,Домашние питомцы /+шум толпы/,(любить ухаживать гладить мыть учить тренировать),70,crowd
22,pets,Домашние питомцы /+шум толпы/,(петушок лапомойка котёнок мопс наполнитель шерсть),70,crowd
23,pets,Домашние питомцы /+шум толпы/,(вычёсывать чистить подстригать купировать прививать ветеринар фильтр сетка шиншилла),70,crowd
24,pets,Домашние питомцы /+шум толпы/,(когтеточка домик болонка боксёр бигль лабрадор колли такса бульдог),70,crowd
25,pets,Домашние питомцы /+шум толпы/,(короткошёрстная длинношёрстная стрижка грумер питомец выставка паспорт порода родословная),70,crowd
1,animals,Мир животных,(бык козёл бегемот),0,
2,animals,Мир животных,(жираф гусь цыплёнок),0,
3,animals,Мир животных,(лиса волк медведь),0,
4,animals,Мир животных,(конь бык козёл бегемот баран крокодил),0,
5,animals,Мир животных,(жираф утка гусь индюк перепёлка цыплёнок),0,
6,animals,Мир животных,(лиса волк медведь заяц ёж белка),0,
7,animals,Мир животных,(сова кукушка ласточка страус соловей чайка),0,
8,animals,Мир животных,(воробей сорока ворона голубь снегирь синица),0,
9,animals,Мир животных,(жук бабочка муха комар стрекоза мошка),0,
10,animals,Мир животных,(окунь щука сом форель карп плотва),0,
11,animals,Мир животных,(змея ящерица жаба крокодил уж черепаха),0,
12,animals,Мир животных,(утконос бизон зубр тетерев соболь як шершень сверчок скат),0,
13,animals,Мир животных,(тритон шакал дикобраз бурундук морж цесарка тля богомол касатка),0,
14,animals,Мир животных /+шум толпы/,(бегать прыгать летать охотиться спать лежать),0,
15,animals,Мир животных /+шум толпы/,(конь бык козёл бегемот баран крокодил),70,crowd
16,animals,Мир животных /+шум толпы/,(жираф утка гусь индюк перепёлка цыплёнок),70,crowd
17,animals,Мир животных /+шум толпы/,(лиса волк медведь заяц ёж белка),70,crowd
