level,code,exerciseName,words,noiseLevel,noiseUrl
12,animals,Animals,(dog camel koala squirrel kangaroo elephant),0,
13,animals,Animals,(crab lion monkey iguana lizard crocodile elephant hedgehog chimpanzee),0,
14,animals,Animals,(frog horse sheep giraffe alligator crocodile hedgehog chimpanzee grasshopper),0,
1,transport,Transport,(car tram lorry),0,
2,transport,Transport,(bus train ferry),0,
3,transport,Transport,(van boat taxi),0,
4,transport,Transport,(cab taxi barge tractor subway balloon),0,
5,transport,Transport,(jet ferry crane scooter bicycle forklift),0,
6,transport,Transport,(tram boat plane tractor rowboat carriage),0,
7,transport,Transport,(jet ferry train barge airplane skateboard),0,
8,transport,Transport,(boat lorry crane ambulance helicopter parachute),0,
9,transport,Transport,(van train crane bicycle airplane police_car delivery_truck baby_carriage mountain_bike),0,
10,transport,Transport,(cab train police helicopter ambulance cable_car dump_truck cement_mixer recycling_truck),0,
11,transport,Transport /+rain fon/,(car tram lorry),70,rain
12,transport,Transport /+rain fon/,(bus train ferry),70,rain
13,transport,Transport /+rain fon/,(van boat taxi),70,rain
14,transport,Transport /+rain fon/,(cab taxi barge tractor subway balloon),70,rain
15,transport,Transport /+rain fon/,(jet ferry crane scooter bicycle forklift),70,rain
16,transport,Transport /+rain fon/,(tram boat plane tractor rowboat carriage),70,rain
17,transport,Transport /+rain fon/,(jet ferry train barge airplane skateboard),70,rain
18,transport,Transport /+rain fon/,(boat lorry crane ambulance helicopter parachute),70,rain
19,transport,Transport /+rain fon/,(van train crane bicycle airplane police_car delivery_truck baby_carriage mountain_bike),70,rain
20,transport,Transport /+rain fon/,(cab train police helicopter ambulance cable_car dump_truck cement_mixer recycling_truck),70,rain
1,colors,Colours & Shapes,(red blue gray),0,
2,colors,Colours & Shapes,(pink green brown),0,
3,colors,Colours & Shapes,(black white navy),0,
4,colors,Colours & Shapes,(red gold orange yellow purple silver),0,
5,colors,Colours & Shapes,(navy khaki beige indigo fuchsia turquoise),0,
6,colors,Colours & Shapes,(star oval circle),0,
7,colors,Colours & Shapes,(heart square rhombus),0,
8,colors,Colours & Shapes,(triangle octagon oval),0,
9,colors,Colours & Shapes,(pentagon rectangle hexagon heptagon trapezium star),0,
10,colors,Colours & Shapes,(oval square semi_circle parallelogram equilateral_triangle star),0,
1,city,City,(zoo park town),0,
2,city,City,(road shop crowd),0,
3,city,City,(city hotel street),0,
4,city,City,(zoo office noisy traffic church suburb),0,
5,city,City,(hotel campus market district airport cinema),0,
6,city,City,(park shop church mosque bakery museum),0,
7,city,City,(road town hotel library stadium mosque),0,
8,city,City,(city street traffic cinema motorway pollution),0,
9,city,City,(shop district museum library downtown skyscraper),0,
10,city,City,(town market cinema pollution monument bookstore),0,
11,city,City,(office campus bakery hospital gallery outskirts),0,
12,city,City,(mall street airport highway boutique playground supermarket pawnshop overpopulation),0,
13,city,City,"(fla, house store bakery motorway apartment drugstore brasserie restaurant)",0,
14,city,City,(zoo office suburb theater crowded building newsstand congestion neighborhood),0,
15,city,City /+crowd fon/,(zoo park town),70,crowd
16,city,City /+crowd fon/,(road shop crowd),70,crowd
17,city,City /+crowd fon/,(city hotel street),70,crowd
18,city,City /+crowd fon/,(zoo office noisy traffic church suburb),70,crowd
19,city,City /+crowd fon/,(hotel campus market district airport cinema),70,crowd
20,city,City /+crowd fon/,(park shop church mosque bakery museum),70,crowd
21,city,City /+crowd fon/,(road town hotel library stadium mosque),70,crowd
22,city,City /+crowd fon/,(city street traffic cinema motorway pollution),70,crowd
23,city,City /+crowd fon/,(shop district museum library downtown skyscraper),70,crowd
24,city,City /+crowd fon/,(town market cinema pollution monument bookstore),70,crowd
25,city,City /+crowd fon/,(office campus bakery hospital gallery outskirts),70,crowd
26,city,City /+crowd fon/,(mall street airport highway boutique playground supermarket pawnshop overpopulation),70,crowd
27,city,City /+crowd fon/,"(fla, house store bakery motorway apartment drugstore brasserie restaurant)",70,crowd
28,city,City /+crowd fon/,(zoo office suburb theater crowded building newsstand congestion neighborhood),70,crowd
1,country,Village,(pig hen farm),0,
2,country,Village,(hill land corn),0,
3,country,Village,(bull hut crop),0,
4,country,Village,(mill hay corn barn field garden),0,
5,country,Village,(fur lamb fruit horse field sheep),0,
6,country,Village,(plant grass lane feed honey chicken),0,
7,country,Village,(goat rice breed forest garden farmer),0,
8,country,Village,(soil grain fence worker rural product),0,
9,country,Village,(wool ranch donkey bothy bucket turkey),0,
10,country,Village,(rake goose wheat insect tractor organic),0,
11,country,Village,(cotton harvest orchard pasture farmhouse countryside),0,
12,country,Village,(valley poultry woodland nutrient homestead vegetable provincial irrigation scarecrow),0,
13,country,Village,(breed shovel windmill soybean allotment plantation fertilizer pesticide cultivation),0,
14,country,Village,(ranch insect cottage meadow barnyard smallholding agricultural wheelbarrow equipment),0,
1,walk,Tour,(map castle locals),0,
2,walk,Tour,(park relax legend),0,
3,walk,Tour,(shop church market enjoy location museum),0,
4,walk,Tour,(site arrive popular shopping ancient restored superb architecture surroundings),0,
5,walk,Tour,(photo depart settlers postcard monument activities heritage attractions exhibition),0,
1,weather,Weather,(hot icy coolness),0,
2,weather,Weather,(cold sunny blizzard),0,
3,weather,Weather,(fog cool rainbow),0,
4,weather,Weather,(rain clear raindrop season drought coolness),0,
5,weather,Weather,(fall heat cool snowstorm cloudy freezing),0,
6,weather,Weather,(sun hail season thunder sunshine flurries),0,
7,weather,Weather,(icy snow flood cloudy autumn tornado),0,
8,weather,Weather,(wind chilly drought thunder lightning cyclone),0,
9,weather,Weather,(frost winter drizzling freezing autumn snowstorm),0,
10,weather,Weather,(sun warm humid weather flurries thunder),0,
11,weather,Weather,(fall mild puddle overcast lightning cyclone),0,
12,weather,Weather,(smog summer forecast thunderstorm Celsius Fahrenheit),0,
13,weather,Weather,(spring breeze puddle weather humidity Celsius avalanche thermometer air-conditioner),0,
14,weather,Weather,(slush degrees hurricane avalanche temperature thunderstorm Fahrenheit meteorologist precipitation),0,
1,future,Career,(vet doctor postman),0,
2,future,Career,(job baker plumber),0,
3,future,Career,(work nurse author),0,
4,future,Career,(chef baker actor nurse doctor dustman),0,
5,future,Career,(shift driver builder salary gardener cashier),0,
6,future,Career,(wage pilot resign soldier career benefit),0,
7,future,Career,(model porter retire lawyer holiday designer),0,
8,future,Career,(barber painter employer carpenter assistant engineer),0,
9,future,Career,(dentist cleaner employee fireman bricklayer optician),0,
10,future,Career,(farmer barman reporter fishmonger candidate hairdresser),0,
11,future,Career,(florist teacher architect secretary policeman journalist),0,
12,future,Career,(judge waiter surgeon profession lifeguard astronomer),0,
13,future,Career,(bonus welder overtime newsreader redundant technician electrician hairdresser receptionist),0,
14,future,Career,(tailor butcher scientist employment accountant interviewer photographer chambermaid unemployement),0,
1,body,Body,(leg smell body),0,
2,body,Body,(arm see nose),0,
3,body,Body,(lips ear face),0,
4,body,Body,(eye neck lips hand chest teeth),0,
5,body,Body,(toe eat smell hear bone heart),0,
6,body,Body,(ribs hips brain hair body taste),0,
7,body,Body,(back touch bite head cheek liver),0,
8,body,Body,(run chin mouth organ waist throat),0,
9,body,Body,(lift skull carry elbow finger spine),0,
10,body,Body,(leg brain walk face breathe tongue),0,
11,body,Body,(chin wrist swallow bottom skeleton intestines),0,
12,body,Body,(ear feet breasts pelvis eyelid kidneys),0,
13,body,Body,(arm wrist lungs finger stomach toenail swallow eyelashes thumbnail),0,
14,body,Body,(eye cheek thumb mouth bottom shoulders eyebrows forehead fingernail),0,
1,game,Hobbies,(ball cricket blogging),0,
2,game,Hobbies,(doll manga cycling),0,
3,game,Hobbies,(toy sewing knitting),0,
4,game,Hobbies,(ball kite sing crochet juggling sculpting),0,
5,game,Hobbies,(toy pool manga camping hedbanz crosswords),0,
6,game,Hobbies,(doll chess sewing puzzles cooking gardening),0,
7,game,Hobbies,(kite swimming origami pottery knitting sewing),0,
8,game,Hobbies,(play sing dancing painting knitting crosswords),0,
9,game,Hobbies,(poker surfing camping memory cooking quilting),0,
10,game,Hobbies,(boggle scrabble graffiti knitting ceramics photography),0,
11,game,Hobbies,(bridge scrabble travelling florist dominoes woodworking),0,
12,game,Hobbies,(game drawing climbing collecting pictionary jeopardy),0,
13,game,Hobbies,(fishing writing florist ceramics dominoes foosball charades geocaching cheerleading),0,
14,game,Hobbies,(acting billiards collecting jeopardy trashketball calligraphy scrap-booking cheerleading embroidery),0,
1,adventure,Adventure,(fun dream ocean),0,
2,adventure,Adventure,(sea ride event),0,
3,adventure,Adventure,(trip zone guide),0,
4,adventure,Adventure,(risk epic cruise safari survival road-trip),0,
5,adventure,Adventure,(luck tales fantasy exploring storybook adventure),0,
6,adventure,Adventure,(world money mystery exciting activity vacation),0,
7,adventure,Adventure,(travel danger action escapist discovery treasure),0,
8,adventure,Adventure,(chance hiking exotic mountain paradise historical),0,
9,adventure,Adventure,(sailor hazard nature wanderlust fairytale dangerous),0,
10,adventure,Adventure,(mystic courage playground wonderland enjoyable sightseeing),0,
11,adventure,Adventure,(legend voyage skydiving daredevil insurance exploration),0,
12,adventure,Adventure,(surfing journey escapade recreation expedition destination),0,
13,adventure,Adventure,(rafting tourism courageous skydiving excursion opportunity adrenaline sightseeing misadventure),0,
14,adventure,Adventure,(climb creature bike-packing insurance adventurous unforgettable peregrination exhilaration adventuresome),0,
1,hospital,Hospital,(dull fluid vein),0,
2,hospital,Hospital,(limb virus toddler),0,
3,hospital,Hospital,(lump vomit benign),0,
4,hospital,Hospital,(germ cancer muscle fever throat syringe),0,
5,hospital,Hospital,(ward cough anemic injured bruise patient),0,
6,hospital,Hospital,(rash tablet acute febrile systemic arthritis),0,
7,hospital,Hospital,(flu plaster epilepsy injury abnormal poison),0,
8,hospital,Hospital,(cold broken failure allergy suffering fracture),0,
9,hospital,Hospital,(shot mental prescribe immune organism counseling),0,
10,hospital,Hospital,(hive breech memory coroner seizure prevalence),0,
11,hospital,Hospital,(dose wound backache fracture progressive dehydrate),0,
12,hospital,Hospital,(brace asthma surgery bandage concussion infection),0,
13,hospital,Hospital,(prone swollen nervous converge diagnosis operation respiratory nauseous tranquilizer),0,
14,hospital,Hospital,(nurse tumor disorder malignant emergency disability deterioration homeostasis intravenous),0,
15,hospital,Hospital /+crowd fon/,(dull fluid vein),70,crowd
16,hospital,Hospital /+crowd fon/,(limb virus toddler),70,crowd
17,hospital,Hospital /+crowd fon/,(lump vomit benign),70,crowd
18,hospital,Hospital /+crowd fon/,(germ cancer muscle fever throat syringe),70,crowd
19,hospital,Hospital /+crowd fon/,(ward cough anemic injured bruise patient),70,crowd
20,hospital,Hospital /+crowd fon/,(rash tablet acute febrile systemic arthritis),70,crowd
21,hospital,Hospital /+crowd fon/,(flu plaster epilepsy injury abnormal poison),70,crowd
22,hospital,Hospital /+crowd fon/,(cold broken failure allergy suffering fracture),70,crowd
23,hospital,Hospital /+crowd fon/,(shot mental prescribe immune organism counseling),70,crowd
24,hospital,Hospital /+crowd fon/,(hive breech memory coroner seizure prevalence),70,crowd
25,hospital,Hospital /+crowd fon/,(dose wound backache fracture progressive dehydrate),70,crowd
26,hospital,Hospital /+crowd fon/,(brace asthma surgery bandage concussion infection),70,crowd
27,hospital,Hospital /+crowd fon/,(prone swollen nervous converge diagnosis operation respiratory nauseous tranquilizer),70,crowd
28,hospital,Hospital /+crowd fon/,(nurse tumor disorder malignant emergency disability deterioration homeostasis intravenous),70,crowd
1,feelings,Feelings,(sad like angry),0,
2,feelings,Feelings,(awe bored disgust),0,
3,feelings,Feelings,(shy silly bashful),0,
4,feelings,Feelings,(feel amused withdrawn worried astonished combative),0,
5,feelings,Feelings,(hope respect indignant sneaky miserable determined),0,
6,feelings,Feelings,(hate tired playful amazing exhausted gratitude),0,
7,feelings,Feelings,(shock unfair unhappy peaceful hysterical satisfied),0,
8,feelings,Feelings,(calm thankful serious happiness irritated threatening),0,
9,feelings,Feelings,(happy afraid dislike loathing serene satisfaction),0,
10,feelings,Feelings,(modest grateful serene hopeful confused surprised),0,
11,feelings,Feelings,(weepy curious depressed unpleasant happiness satisfaction),0,
12,feelings,Feelings,(wonder irritated playful contented delighted uncontrolled),0,
13,feelings,Feelings,(fear dislike hopeful confused appalled brooding quarrelsome disappointed threatening),0,
14,feelings,Feelings,(disgust annoyed composed contented delighted uncontrolled exhilarated entertained uninterested),0,
1,toys,Toys,(ball gun toy),0,
2,toys,Toys,(bell cards truck),0,
3,toys,Toys,(car block darts chess horse puppet),0,
4,toys,Toys,(doll book games puzzles teddy scooter),0,
5,toys,Toys,(toy knight lego pinwheel tricycle toboggan dominoes trampoline skateboard),0,
1,insects,Insects,(ant bee fly),0,
2,insects,Insects,(flea wasp larva),0,
3,insects,Insects,(moth beetle maggot),0,
4,insects,Insects,(aphid louse nymph ladybug dragonfly fly),0,
5,insects,Insects,(fly midge larva gadfly caterpillar cockroach bumblebee harvestman dragonfly),0,
1,interior,Interior,(hall bed cots),0,
2,interior,Interior,(rug desk sofa),0,
3,interior,Interior,(den light cosy),0,
4,interior,Interior,(sink door screen shower towel carpeted),0,
5,interior,Interior,(loft attic kitchen pillow bureau lounger),0,
6,interior,Interior,(dark table faucet mirror toilet beanbag),0,
7,interior,Interior,(lamp vase niche futons cabinet recliner),0,
8,interior,Interior,(bulb oven design carpet cushion deckchair),0,
9,interior,Interior,(clock stairs blanket drawer picture bookcase),0,
10,interior,Interior,(view fridge hanger bathtub pouffe bookshelf),0,
11,interior,Interior,(cribs couch settee antique painting armchair),0,
12,interior,Interior,(shelf cradle lounge curtain cupboard wardrobe),0,
13,interior,Interior,(chest dresser candle ottoman elevation etagere laminate sideboard comfortable),0,
14,interior,Interior,(bright hatstand nightstand basement furniture spacious chandelier bauhaus clerestory),0,
1,kitchen,Kitchen,(pot fan plate),0,
2,kitchen,Kitchen,(pan tongs stove),0,
3,kitchen,Kitchen,(tap fork kettle),0,
4,kitchen,Kitchen,(cut bowl dice bake spoon toaster),0,
5,kitchen,Kitchen,(mug chop slice roast cutter cabinet),0,
6,kitchen,Kitchen,(whisk glass grate heat peeler combine),0,
7,kitchen,Kitchen,(stir towel mince drain ladle cupboard),0,
8,kitchen,Kitchen,(blend apron boil turner season counter-top),0,
9,kitchen,Kitchen,(crush floor steam roaster spatula measure),0,
10,kitchen,Kitchen,(fry knife scramble opener colander saucepan),0,
11,kitchen,Kitchen,(grill food sprinkle cutlery tea-spon tablespoon),0,
12,kitchen,Kitchen,(melt oven serve microwave marinate cookware),0,
13,kitchen,Kitchen,(sink pantry toaster barbeque squeeze cookware silverware dishwasher counter-top),0,
14,kitchen,Kitchen,(fridge kitchen corkscrew container homemade microwave refrigerator tablespoon coffeemaker),0,
1,music,Music,(drum cello ballad),0,
2,music,Music,(sing duet genre),0,
