level,exerciseName,orderNumber,words
1,По 2 слова из 6,24,(();();(мяч луч рис);(учит просит исправляет);();())
1,По 2 слова из 6,25,(();();(девочка баба дедушка);(сидит лежит идёт);();())
1,По 2 слова из 6,26,(();();(мальчик дядя тётя);(сидит лежит идет);();())
1,По 2 слова из 6,27,(();();(девочка дедушка бабушка);(бросает читает рисует);();())
1,По 2 слова из 6,28,(();();(Давид спартанец воин);(побеждает ликует торжествет);();())
1,По 2 слова из 6,29,(();();(учитель ученик повар);(повелевает учится варит);();())
2,По 3 слова из 6,1,(();(прекрасная страшная);(принцесса колдунья);(мечтает колдует);();())
2,По 3 слова из 6,2,(();(добрая грязная);(красавица ведьма);(танцует рычит);();())
2,По 3 слова из 6,3,(();(злой хороший);(Иванушка Кощей);(спасает злорадствует);();())
2,По 3 слова из 6,4,(();(костлявый могучий);(богатырь змей);(защищает спит);();())
2,По 3 слова из 6,5,(();(разумный глупый);(царь холоп);(думает смеётся);();())
2,По 3 слова из 6,6,(();(ленивый мокрый);(принц крокодил);(кушает охотится);();())
2,По 3 слова из 6,7,(();(сумасбродный тихий);(правитель крокодил);(кричит шепчет);();())
2,По 3 слова из 6,8,(();(сухой зелёный);(крестьянин богач);(загарает богатеет);();())
2,По 3 слова из 6,9,(();(сморщенный довольный);(гриб сухарь);(валяется воет);();())
2,По 3 слова из 6,10,(();(важный скромный);(батюшка парень);(рассказывает дремлет);();())
2,По 3 слова из 6,11,(();(жадный добродушный);(скряга вор);(хозочет милует);();())
2,По 3 слова из 6,12,(();(мудрая великая);(волшебница фея);(прощает поёт);();())
2,По 3 слова из 6,13,(();(великодушный трусливый);(рыцарь кузнец);(спрашивает отвечает);();())
2,По 3 слова из 6,14,((три семь);();(поросёнка волчёнка);(строят дуют);();())
2,По 3 слова из 6,15,((двенадцать семнадцать);();(лебедей червяков);(летят ползут);();())
2,По 3 слова из 6,16,((один два);();(дядюшки зайца);(бегут стоят);();())
2,По 3 слова из 6,17,((три четыре);();(зайчонка лисы);(пищат шумят);();())
2,По 3 слова из 6,18,((пять шесть);();(котят щенков);(скулят маукают);();())
2,По 3 слова из 6,19,((семь восемь);();(утят мышат);(кричат топочат);();())
2,По 3 слова из 6,20,((девять десять);();(воронят тигрят);(мычат скулят);();())
2,По 3 слова из 6,21,((два три);();(дяди зайца);(идут стоят);();())
2,По 3 слова из 6,22,((пять шесть);();(кошек птичек);(чирикают мурлычат);();())
2,По 3 слова из 6,23,(();(серые черные);(лошадки собаки);(бегут лежат);();())
2,По 3 слова из 6,24,(();(красные рыжие);(борсуки зубры);(шуршат дерутся);();())
2,По 3 слова из 6,25,(();(ароматные аппетитные);(цветы ягоды);(воняют тухнут);();())
2,По 3 слова из 6,26,(();(противный вонючий);(борщ горшок);(пропал пролился);();())
2,По 3 слова из 6,27,(();();(Тома Вика);(стирала вязала);();(платье кофту))
2,По 3 слова из 6,28,(();();(мама тётя);(берёт везёт);();(картину картошку))
2,По 3 слова из 6,29,(();();(Маша Лиза);(кушает кусает);();(кашу булку))
2,По 3 слова из 6,30,(();();(ёжик лёлик);(собирает подбирает);();(яблоки ягоды))
2,По 3 слова из 6,31,(();();(первоклассник второклассник);(пишет видит);();(примеры задачи))
2,По 3 слова из 6,32,(();();(старшеклассник сторож);(обдумывает считает);();(проказу изложение))
2,По 3 слова из 6,33,(();();(уборщица пятиклассник);(рассчитывает записывает);();(злодейство изложение))
2,По 3 слова из 6,34,(();();(учительница воспитатель);(учит воспитывает);();(директора ученика))
2,По 3 слова из 6,35,(();();(себе тебе);(нужно надо);();(взять дать))
2,По 3 слова из 6,36,(();();(Гоша Гога);(наполняет заполняет);();(ящик тазик))
2,По 3 слова из 6,37,(();();(парео сомбреро);(подходит пристало);();(всем им))
2,По 3 слова из 6,38,(();();(ветка пакет);(принадлежит принадлежал);();(дереву мальчику))
2,По 3 слова из 6,39,(();();(лошадка качалка);(катается качается);();(лихо тихо))
2,По 3 слова из 6,40,(();();(Тося Зося);(перебирает переминает);();(манку шапку))
2,По 3 слова из 6,41,(();();(он Ян);(указал показал);();(дыру тропу))
2,По 3 слова из 6,42,(();();(гости люди);(принесли отнесли);();(подарки коробки))
2,По 3 слова из 6,43,(();();(вечер диктор);(наступает начинает);();(мирно грустно))
2,По 3 слова из 6,44,(();();(лектор спикер);(начинает завершает);();(анонс отчёт))
2,По 3 слова из 6,45,(();();(девочка женщина бабушка);(танцует читает рисует);();(книги вишни деньги))
2,По 3 слова из 6,46,(();();(сорванец отличник двоечник);(любит получает ненавидит);();(пятёрки двойки деньги))
3,По 3 слова из 9,1,(();();(девочка женщина бабушка);(танцует читает рисует);();(книги вишни деньги))
3,По 3 слова из 9,2,(();();(повар доктор летчик);(видит ловит моет);();(ключи носки часы))
3,По 3 слова из 9,3,(();();(шофер моряк рыбак);(красит прячет ставит);();(чашки тапки ложки))
3,По 3 слова из 9,4,(();();(баклажан патиссон кабачок);(томится коптится дымится);();(в миске в кружке в крышке))
3,По 3 слова из 9,5,(();();(червяк сверчок жучок);(ловит видит слышит);();(пчелу осу змею))
3,По 3 слова из 9,6,(();();(вилка ложка кружка);(вертит греет держит);();(сало мясо блюдо))
3,По 3 слова из 9,7,(();();(телефон граммофон патефон);(записывает усиливает проигрывает);();(звук стук шум))
3,По 3 слова из 9,8,(();();(коршун дятел голубь);(ловит кормит крошит);();(белочку уточку булочку))
3,По 3 слова из 9,9,(();();(Лёша Миша Лёва);(видит пилит рубит);();(клёны брёвна ивы))
3,По 3 слова из 9,10,(();();(Оля Яна Аля);(пьёт льёт ест);();(чай сок суп))
3,По 3 слова из 9,11,(();();(Константин Спиридон Харитон);(несёт везёт поёт);();(букет пакет куплет))
3,По 3 слова из 9,12,(();();(Марина Дарина Галина);(включает снимает сметает);();(свет шаль пыль))
3,По 3 слова из 9,13,(();();(Ангелина Аделина Алефтина);(складывает скалывает скидывает);();(носок кусок вазон))
3,По 3 слова из 9,14,(();();(дяди дети люди);(смывают сливают снимают);();(затемнение загрязнение заграждение))
3,По 3 слова из 9,15,(();();(оба Оли обе);(бегут бредут идут);();(давно вблизи вдали))
3,По 3 слова из 9,16,(();();(машина курица собака);(подросла сла подплыла);();(сильно криво быстро))
3,По 3 слова из 9,17,(();();(тыква ветка утка);(пьёт льёт ест);();(чай сок суп))
3,По 3 слова из 9,18,(();();(повар доктор летчик);(видит ловит моет);();(ключи носки часы))
3,По 3 слова из 9,19,(();();(шофер моряк рыбак);(красит прячет ставит);();(чашки тапки ложки))
3,По 3 слова из 9,20,(();();(доктор тетя клоун);(моет режет ловит);();(груши сливы кофты))
3,По 3 слова из 9,21,(();();(зонтик тортик ломтик);(ударился закончился испортился);();(сильно быстро сразу))
3,По 3 слова из 9,22,(();();(швабра кобра норка);(подмела подползла замерла);();(чисто скрытно резко))
3,По 3 слова из 9,23,((двенадцать тринадцать пятнадцать);(рабочих красивых счастливых);();(капают играют гуляют);();())
4,По 3 слова из 12,1,(();(бульдозер телевизор мороз кот);(начал держал говорил смотрел);();();(игру дорогу вату черепаху))
4,По 3 слова из 12,2,(();(борода малина ложка дочь);(ненавидела гнала видела смотрела);();();(подсолнух забор глаз напиток))
4,По 3 слова из 12,3,(();(картина посуда ёлка печь);(делала слышала дарила обнимала);();();(весну линейку корову девочку))
4,По 3 слова из 12,4,(();(бокал ботинок ком холодильник);(ждёт видит трогает целует);();();(печенье окно солнышко зеркало))
4,По 3 слова из 12,5,(();(сверчок рис часовщик бездельник);(верит говорит держит мочит);();();(истину доску картину точку))
4,По 3 слова из 12,6,(();(радиоприёмник пароход хлеб насос);(уважает печатает клеит радует);();();(бабочку сумку свободу чайку))
4,По 3 слова из 12,7,(();(пылесос конь диван вертолёт);(собирает ломает причёсывает красит);();();(булку змею собаку колбасу))
4,По 3 слова из 12,8,(();(абрикос чайник сын барабан);(наряжает начинает платит поёт);();();(ножницы штаны качели духи))
4,По 3 слова из 12,9,(();(мотылёк кирпич дуб топор);(толкает бьёт слушает пугает);();();(ящерицу радугу клюкву траву))
4,По 3 слова из 12,10,(();(помидор паук утконос дом);(одевает пинает носит греет);();();(пещеру жалобу ягоду розу))
4,По 3 слова из 12,11,(();(ватрушка берёза ложка футболка);(тащит морозит ходит развивает);();();(фамилию комнату росу краску))
4,По 3 слова из 12,12,(();(колодец мишка жук капитан);(прыгает читает кричит висит);();();(свободу луну землю книгу))
4,По 3 слова из 12,13,(();(подушка зима планета ягода);(лежит копает получает звенит);();();(вагон чемодан сон подвал))
4,По 3 слова из 12,14,(();(бидон замок камин индюк);(уважает бегает разбирает смотрит);();();(канаву машину телегу нору))
4,По 3 слова из 12,15,(();(чашка роса капля муха);(пачкает узнаёт чистит вытирает);();();(кабана журавля поросёнка муравья))
4,По 3 слова из 12,16,(();(лампа банка сумка брошка);(заметает лечит успокаивает злит);();();(дом глаз шар пик))
4,По 3 слова из 12,17,(();(том суп сыч шарф);(умывает бросает рисует везёт);();();(маму соню кашу баню))
4,По 3 слова из 12,18,(();(зуб бак кот лист);(моет режет обнимает чистит);();();(диван капкан банан барабан))
4,По 3 слова из 12,19,(();(лаз паз таз квас);(шьёт льёт пьёт врёт);();();(клён ком стон звон))
4,По 3 слова из 12,20,(();(ворона капля дочь черепаха);(положила увидела любила катала);();();(пуговицу лису гусеницу мечту))
4,По 3 слова из 12,21,(();(пёстрые чёрные серые);(стаканы лопаты бидоны);(стоят лежат поют);();())
4,По 3 слова из 12,22,(();(грустные длинные низкие);(волосы варежки головы);(стучат висят кричат);();())
4,По 3 слова из 12,23,(();(горячие холодные весёлые);(телефоны крокодилы самолёты);(несут везут трясут);();(бочки полки санки))
5,По 4 слова из 12,1,(();(великие мудрые глупые);(великаны мудрецы глупцы);(умничают советуют молчат);();())
5,По 4 слова из 12,2,(();(желанные милые любимые);(игрушки пироженые книги);(зовут влекут манят);();())
5,По 4 слова из 12,3,(();(скверные горькие скучные);(игры котлеты сказки);(надоедают отвлекают марают);();())
5,По 4 слова из 12,7,(();();(папа Фёдор Мария);(поёт читает рассказывает);(тихую сладкую добрую);(песню сказку историю))
5,По 4 слова из 12,8,(();();(мама Мария папа);(любит обожает мечтает);(делать решать считать);(математику задачи примеры))
5,По 4 слова из 12,9,(();();(доктор тетя клоун);(моет режет ловит);(черные белые серые);(груши сливы кофты))
5,По 4 слова из 12,10,(();();(педагог мотылек пароход);(стирает ломает кидает);(восемь девять десять);(ведер ложек ручек))
5,По 4 слова из 12,11,(();();(сторож доктор слесарь);(выписал вылечил вырезал);(пять шесть семь);(людей детей ключей))
5,По 4 слова из 12,12,(();();(дизайнер художник директор);(описал написал подписал);(восемь девять десять);(дорог картин бумаг))
5,По 4 слова из 12,13,(();();(учитель кондитер водитель);(пишет красит водит);(пять шесть семь);(тестов кремов джипов))
5,По 4 слова из 12,14,(();();(Буратино Чиполлино Арлекино);(считает рисует играет);(пять семь шесть);(тетрадей пейзажей спектаклей))
5,По 4 слова из 12,15,(();();(дел сын брат);(купил продал слепил);(десять двадцать тридцать);(пакетов билетов багетов))
5,По 4 слова из 12,16,(();();(девушка дедушка бабушка);(лепит варит жарит);(шестое седьмое восьмое);(тесто мясо сало))
5,По 4 слова из 12,17,(();();(апельсин мандарин ананас);(содержит питает имеет);(двенадцать тринадцать пятнадцать);(элементов компонентов недостатков))
5,По 4 слова из 12,18,(();();(Ваня Даня Галя);(ест рвёт пьет);(второй седьмой восьмой);(шоколад мармелад лимонад))
5,По 4 слова из 12,19,(();();(Лунтик Шпунтик Винтик);(несёт везёт кладёт);(восемь девять десять);(мисок ложек досок))
5,По 4 слова из 12,20,(();();(Дарина Карина Ирина);(поменяла потеряла подарила);(десять двадцать тридцать);(заколок наклеек резинок))
5,По 4 слова из 12,21,(();();(Нина Зина Лина);(поела купила открыла);(первый третий пятый);(тортик гвоздик зонтик))
5,По 4 слова из 12,22,(();();(метро лото село);(пускает содержит встречает);(пятнадцать шестнадцать семнадцать);(детей зверей людей))
5,По 4 слова из 12,23,(();();(пицца птица львица);(горит летит бежит);(двадцать тридцать сорок);(секунд минут часов))
5,По 4 слова из 12,24,(();();(корова ворона сорока);(стучит шуршит гремит);(двумя тремя пятью);(копытами пакетами браслетами))
5,По 4 слова из 12,25,(();();(принтер сканер робот);(печатает сканирует заводит);(пять шесть семь);(альбомов журналов моторов))
5,По 4 слова из 12,26,(();();(братья сёстры дети);(ставят моют чистят);(двенадцать тринадцать семнадцать);(ложек вилок кружек))
5,По 4 слова из 12,27,(();();(фермер житель сторож);(доит кормит моет);(шестую седьмую восьмую);(кобылу корову собаку))
5,По 4 слова из 12,28,(();();(обитатель горожанин постоялец);(выкидывает выкручивает выглаживает);(первый третий пятый);(мусор винтик шарфик))
5,По 4 слова из 12,29,(();();(информатор аниматор провокатор);(представляет развлекает подставляет);(пять шесть семь);(вещей детей людей))
5,По 4 слова из 12,30,(();();(ребята девчата солдаты);(обсуждают набирают назначают);(восемь девять десять);(проектов студентов рабочих))
5,По 4 слова из 12,31,(();();(ученик учитель повар);(варят учат зубрят);(карсивый вкусный ароматный);(стих борщ штрудель))
5,По 4 слова из 12,32,(();();(директор папа Вася);(прячет скрывает показывает);(интересную большую маленькую);(двойку зарплату задачу))
5,По 4 слова из 12,33,(();();(мама бабушка хозяйка);(готовит варит печёт);(вкусную сладкую солёную);(селёдку конфету картошку))
6,По 4 слова из 16,1,(();();(художник пожарный строитель охотник);(прячет чистит носит режет);(шесть ноль пять семь);(кошек кукол чашек ручек))
6,По 4 слова из 16,2,(();();(Мария папа Фёдор мама);(танцует учит играет запоминает);(красивый интересный звонкий модный);(танец стих рассказ ритм))
6,По 4 слова из 16,3,(();();(машинист музыкант капитан продавец);(видит тянет режет красит);(серую черную белую рыжую);(шубу шапку кофту ложку))
6,По 4 слова из 16,4,(();();(футболист хоккеист дзюдоист фигурист);(катит чистит моет ловит);(двенадцать тринадцать шестнадцать пятнадцать);(мячей чехлов ремней цветов))
6,По 4 слова из 16,5,(();();(учитель родитель водитель грабитель);(достал назвал подвёз украл);(десять двадцать тридцать сорок);(детективов поликлиник пассажиров помидоров))
6,По 4 слова из 16,6,(();();(парикмахер грузовик огурец дворник);(видит делает закрашивает ведёт);(восемь двадцать десять шесть);(коров ключей зонтов плащей))
6,По 4 слова из 16,7,(();();(змея швея оса коза);(прорыла пришила схватила умяла);(ноль пять шесть семь);(ям страз мух трав))
6,По 4 слова из 16,8,(();();(телёнок ягнёнок котёнок совёнок);(грызёт жуёт поёт клюёт);(ноль пять шесть семь);(косточек листиков песенок семечек))
6,По 4 слова из 16,9,(();();(фея Лея Мия ляля);(жарит варит режет лепит);(десять двадцать тридцать сорок);(сосисок колбасок пельменей котлетоку))
6,По 4 слова из 16,10,(();();(зайчик ветер камень фартук);(копает слушает читает поёт);(пять семь сто шесть);(волос годов волков мостов))
6,По 4 слова из 16,11,(();();(жук мак луч дым);(чертит крутит вертит мутит);(пятнадцать одиннадцать тринадцать восемнадцать);(собак уток берёз чашек))
6,По 4 слова из 16,12,(();();(мяч кит рис бас);(лечит пишет красит чертит);(сто пять семь шесть);(долгов столов котов цветов))
6,По 4 слова из 16,13,(();();(день свет снег лень);(ловит режет моет роет);(девять десять восемь сорок);(мух лун ос ям))
7,По 5 слова из 15,1,((пять шесть семь);();(поваров докторов продавцов);(варят пишут гладят);(белые чистые вкусные);(лимоны тарелки бананы))
7,По 5 слова из 15,2,((девять восемь десять);();(мальчиков девочек бабушек);(катят жарят пилят);(круглые мокрые рваные);(диваны газеты фонтаны))
7,По 5 слова из 15,3,((пять шесть семь);();(детей друзей людей);(читают листают решают);(новые яркие сложные);(рассказы блокноты примеры))
7,По 5 слова из 15,4,((седьмая восьмая девятая);();(кошка мошка птичка);(откусила отломала оторвала);(сладкую твёрдую старую);(булочку корочку розочку))
7,По 5 слова из 15,5,((пятеро шестеро семеро);();(мотоциклистов сноубордистов корреспондентов);(рассказали написали прочитали);(скучные срочные важные);(повести новости записи))
7,По 5 слова из 15,6,((пятнадцать шестнадцать семнадцать);();(фигуристов хоккеистов футболистов);(прокатали проиграли показали);(сложную легкую новую);(схему битву фишку))
7,По 5 слова из 15,7,((восемь девять десять);();(программистов сценаристов юмористов);(подловили описали рассмешили);(умных хитрых грустных);(мышат котят ребят))
7,По 5 слова из 15,8,((десять двадцать тридцать);();(шахматисток пианисток дзюдоисток);(разыграли отыграли проиграли);(интересную знаменитую величайшую);(партию музыку рубрику))
7,По 5 слова из 15,9,((пятьсот шестьсот семьсот);();(мух пчёл ос);(пролетели просмотрели прожужжали);(тихую мощную громкую);(местность горку стройку))
7,По 5 слова из 15,10,((восемь девять десять);();(лисят волчат козлят);(гоняли ругали пугали);(желтых серых чёрных);(цыплят мышат котят))
7,По 5 слова из 15,11,((двадцать тридцать сорок);();(художников строителей охотников);(несли везли трясли);(кислые твёрдые сладкие);(лимоны тарелки бананы))
7,По 5 слова из 15,12,((десять девять восемь);();(поваров докторов продавцов);(варят носят ставят);(светлые белые темные);(лимоны халаты косынки))
7,По 5 слова из 15,13,((двенадцать пятнадцать тринадцать);();(утят гусят лисят);(клюют едят грызут);(свежие мокрые твердые);(крошки листья палки))
7,По 5 слова из 15,14,((пятнадцать шестнадцать семнадцать);();(моллюсков рапанов кораллов);(изучают подъедают закрывают);(быстрых легких сильных);(ежей червей акул))
7,По 5 слова из 15,15,((двадцать тридцать сорок);();(червей грачей врачей);(смотрят ловят ищут);(прекрасные красивые ужасные);(цветы шары гвозди))
7,По 5 слова из 15,16,((пять шесть семь);();(мишек кошек мышек);(собирают отрывают закрывают);(осенние весенние коварные);(грибы листы носы))
7,По 5 слова из 15,17,((тринадцать двенадцать пятнадцать);();(семей детей людей);(подкармливают расчесывают рассматривают);(снежных зимних легких);(крольчат зверят бельчат))
7,По 5 слова из 15,18,((восемь девять десять);();(птиц кур рыб);(скинули спрятали сдвинули);(светлые острые толстые);(перья когти камни))
7,По 5 слова из 15,19,((десять двадцать тридцать);();(ровесников охотников работников);(начертили наловили напугали);(сложных крупных новых);(роботов хищников гномиков)
7,По 5 слова из 15,20,((пять шесть семь);();(машинистов фигуристов музыкантов);(открыли пришили узнали);(грязные красные старые);(окна стразы ноты))
7,По 5 слова из 15,21,((двадцать тридцать сорок);();(пауков комаров червяков);(учат слышат видят);(кусачих жужжащих сонливых);(ос пчёл мух))
8,По 6 слова из 18,1,((пять шесть семь);(бабушек дедушек девушек);(купили слепили продали);(тёте дяде папе);(красные белые желтые);(шторы пышки вилки))
8,По 6 слова из 18,2,((десять двадцать тридцать);(белок кошек зайцев);(кидают бросают пихают);(соседу дружочку подруге);(шустрых хитрых милых);(пауков комаров червяков))
8,По 6 слова из 18,3,((двенадцать тринадцать пятнадцать);(мальчиков девочек жителей);(чистят режут варят);(родным друзьям кротам);(вкусную свежую сытную);(картошку клубнику капусту))
8,По 6 слова из 18,4,((восемь девять десять);(белок мишек мошек);(собирают переносят расправляют);(деткам птицам листьям);(мелкие острые мягкие);(шишки елки ветки))
8,По 6 слова из 18,5,((двенадцать пятнадцать шестнадцать);(детей людей зверей);(подписывают выравнивают показывают);(соседям прохожим знакомым);(новые старые лучшие);(тетради дощечки добычи))
8,По 6 слова из 18,6,((тридцать десять восемь);(крокодилов чемоданов самолётов);(находят ломают мешают);(собаке корове тарелке);(вкусные свежие ровные);(ёлки вёдра бочки))
8,По 6 слова из 18,7,((восемь десять девять);(моряков чудаков пауков);(шьют пьют льют);(маме шляпе палке);(яркие хрупкие долгие);(слова дрова рукава))
8,По 6 слова из 18,8,((две четыре три);(девочки бабочки лужицы);(верят пашут возят);(кошке тачке миске);(старые красные узкие);(джинсы лапы мухи))
8,По 6 слова из 18,9,((пятнадцать семнадцать двенадцать);(китов шаров мостов);(ищут тянут бреют);(детям людям гусям);(зелёные высокие короткие);(журналы бананы вокзалы))
8,По 6 слова из 18,10,((шесть пять сто);(дочек ручек пачек);(трут бьют шьют);(Кате Вите Насте);(жёлтые точные нужные);(вещи дачи кучи))
